Plugin,Menu,Section,Type,English,Japanese
"BossModReborn","","","@Window","Boss module",""
"BossModReborn","","","@Window","Boss module pre-pull hints",""
"BossModReborn","","","@Window","BossMod Reborn",""
"BossModReborn","","","@Window","BossModReborn",""
"BossModReborn","","","@Window","BossModReborn/FiltersPanel_BA9B0D0A",""
"BossModReborn","","","@Window","BossModReborn/ModulesPanel_9A268E9B",""
"BossModReborn","","",""," by The Combat Reborn Team"," by The Combat Reborn Team"
"BossModReborn","","",""," [T04Gauntlet]",""
"BossModReborn","","","","""Close retainer list and disable plugin"" option for 3 previous settings is enforced during MultiMode operation.","前3項目では、Multi Mode動作中は「リテイナー一覧を閉じてプラグインを無効化」が強制されます。"
"BossModReborn","","","","(not installed)","（未インストール）"
"BossModReborn","","","","* Items that already in other lists WILL BE MOVED to Discard List","※ 他のリストに登録済みのアイテムは破棄リストへ移動します"
"BossModReborn","","","","* Items that already in other lists WILL BE MOVED to Unconditional Sell List","※ 他のリストに登録済みのアイテムは無条件売却リストへ移動します"
"BossModReborn","","","","* Items that already in Unconditional Sell List or Discard List WILL NOT BE ADDED to Quick Venture Sell List","※ 無条件売却リストまたは破棄リストに登録済みのアイテムは、ほりだしもの依頼売却リストには追加されません"
"BossModReborn","","","","+ right click","+ 右クリック"
"BossModReborn","","","","- Also pause ChillFrames plugin","- ChillFramesプラグインも一時停止"
"BossModReborn","","","","- Also remove general FPS restriction","- 通常のFPS制限も解除"
"BossModReborn","","","","...to apartment","…アパルトメントへ"
"BossModReborn","","","","...to free company house","…FCハウスへ"
"BossModReborn","","","","...to private house","…個人宅へ"
"BossModReborn","","","","...to shared estate","…シェアハウスへ"
"BossModReborn","","","","/bmr ar clear: Clear current preset; autorotation will do nothing unless plan is active","/bmr ar clear: 現在のプリセットをクリアします。プランがアクティブでない限り、自動ローテーションは何も行いません"
"BossModReborn","","","","/bmr ar disable: Force disable autorotation; no actions will be executed automatically even if plan is active.","/bmr ar disable: 自動ローテーションを強制的に無効にします。プランがアクティブであっても、アクションは自動的に実行されません。"
"BossModReborn","","","","/bmr ar set Preset: Start executing specified preset.","/bmr ar set Preset: 指定されたプリセットの実行を開始します。"
"BossModReborn","","","","/bmr ar toggle Preset: Start executing specified preset unless it's already active; clear otherwise","/bmr ar toggle Preset: 指定されたプリセットが既にアクティブでない限り、実行を開始します。それ以外の場合はクリア"
"BossModReborn","","","","/bmr ar toggle: Force disable autorotation if not already; otherwise clear overrides.","/bmr ar toggle: 自動回転をまだ無効にしていない場合は強制的に無効にします。それ以外の場合はオーバーライドをクリアします。"
"BossModReborn","","","","/bmr ar ui: Toggle autorotation ui.","/bmr ar ui: 自動回転 UI を切り替えます。"
"BossModReborn","","","","/bmr cfg: Lists all configs.","/bmr cfg: すべての構成をリストします。"
"BossModReborn","","","","/bmr d: Opens the debug menu.","/bmr d: デバッグ メニューを開きます。"
"BossModReborn","","","","/bmr gc: Triggers the garbage collection.","/bmr gc: ガベージ コレクションをトリガーします。"
"BossModReborn","","","","/bmr r on/off: Starts/stops recording a replay.","/bmr r on/off: リプレイの記録を開始する /stops。"
"BossModReborn","","","","/bmr r: Opens the replay menu.","/bmr r: 再生メニューを開きます。"
"BossModReborn","","","","/bmr radar on/off: Sets radar display to on or off.","/bmr radar on/off: レーダー表示のオンまたはオフを設定します。"
"BossModReborn","","","","/bmr radar: toggles radar display","/bmr radar: レーダー表示を切り替えます"
"BossModReborn","","","","/bmr resetcolors: Resets all colors to their default values.","/bmr resetcolors: すべての色をデフォルト値にリセットします。"
"BossModReborn","","","","/bmr restorerotation: Toggle restore character orientation after action use setting.","/bmr restorerotation: アクション使用後の文字方向の復元設定を切り替えます。"
"BossModReborn","","","","/bmrai follow name: Follows the specified party member by name.","/bmrai follow name: 指定された パーティ メンバーの名前に従います。"
"BossModReborn","","","","/bmrai follow slotX: Follows the specified slot, eg. Slot1.","/bmrai follow slotX: 指定されたスロットに従います。スロット1。"
"BossModReborn","","","","/bmrai followcombat on/off: Sets following following during combat to on or off.","/bmrai followcombat on/off：戦闘中のフォローのオン・オフを設定します。"
"BossModReborn","","","","/bmrai followcombat: Toggles following during combat.","/bmrai followcombat: 戦闘中のフォローを切り替えます。"
