Plugin,Menu,Section,Type,English,Japanese
"ExplorersIcebox","","","","0: IsleFish/Clam Shell | Larve/Squid","0: 海水魚/二枚貝 | 玉藻/スキッド"
"ExplorersIcebox","","","","10: Copper | Mythril","10: 銅鉱 | 霊銀鉱"
"ExplorersIcebox","","","","11: Opal | Sap | (Log)","11: ウッドオパール | 樹液 | (原木)"
"ExplorersIcebox","","","","12: Hemp","12: 麻"
"ExplorersIcebox","","","","13: Multicolored Isleblooms | Quartz","13: 極彩色の花 | クォーツ"
"ExplorersIcebox","","","","14: Iron Ore","14: 鉄鉱"
"ExplorersIcebox","","","","15: Laver / Squid | Jellyfish / Coral","15: 玉藻 / スキッド | ジェリーフィッシュ / 珊瑚"
"ExplorersIcebox","","","","16: Rocksalt","16: 岩塩"
"ExplorersIcebox","","","","17: Leucogranite","17: 花崗岩"
"ExplorersIcebox","","","","18: Quartz [Mountain XP Loop]","18: クォーツ [飛行経験値周回]"
"ExplorersIcebox","","","","19: Coal / Shale | Glimshroom","19: 石炭 / 堆積岩 | トモシビダケ"
"ExplorersIcebox","","","","1: Islewort | (Popoto/Parsnip Seeds)","1: 草葉 | (ポポト種芋/パースニップ種)"
"ExplorersIcebox","","","","20: Effervescent Water","20: ソーダ水"
"ExplorersIcebox","","","","21. Crystal / Hawk Sand | Yelow Copper / Gold Ore","21. クリスタル層 / 鷹目砂 | 黄銅鉱 / 金鉱"
"ExplorersIcebox","","","","22: Cabbage Seeds","22: キャベツの種"
"ExplorersIcebox","","","","23. Pumpkin Seeds","23. パンプキンの種"
"ExplorersIcebox","","","","2: Sugarcane | Vine","2: サトウキビ | つる"
"ExplorersIcebox","","","","3: Tinsand/Sand | Marble/Limestone","3: 砂錫/砂 | 大理石/石灰岩"
"ExplorersIcebox","","","","4: Apple | Beehive","4: アップル | 蜜蜂の巣"
"ExplorersIcebox","","","","5: Coconut/Palm Log/Leaf | Marble/Limestone","5: ココナッツ/パーム原木/パームリーフ | 大理石/石灰岩"
"ExplorersIcebox","","","","6: Cotton","6: 綿花"
"ExplorersIcebox","","","","7: Clay/Sand [Ground XP Route]","7: 粘土/砂 [地上経験値周回]"
"ExplorersIcebox","","","","8: Marble/Limestone","8: 大理石/石灰岩"
"ExplorersIcebox","","","","9: Branch | Log | Resin","9: 小枝 | 原木 | 天然樹脂"
"ExplorersIcebox","","","","Apple","無人島のアップル"
"ExplorersIcebox","","","","Beehive","無人島の蜜蜂の巣"
"ExplorersIcebox","","","","Branch","無人島の小枝"
"ExplorersIcebox","","","","Cabbage Seed","アイルキャベツの種"
"ExplorersIcebox","","","","Clam","無人島の二枚貝"
"ExplorersIcebox","","","","Clay","無人島の粘土"
"ExplorersIcebox","","","","Coal","無人島の石炭"
"ExplorersIcebox","","","","Coconut","無人島のココナッツ"
"ExplorersIcebox","","","","Copper","無人島の銅鉱"
"ExplorersIcebox","","","","Coral","無人島の珊瑚"
