Plugin,Menu,Section,Type,English,Japanese
"QuestAWAY","","",""," by NightmareXIV, Chalkos",""
"QuestAWAY","","","","Additional pathes to hide (one per line, without _hr1 and .tex)","非表示にする追加のパス (1 行に 1 つ、_hr1 と .tex なし)"
"QuestAWAY","","","","Aetherytes always in front on big map (invert Ctrl key for Map)","エーテライトは大きなマップ上で常に前面に表示されます (マップの場合は Ctrl キーを反転させます)"
"QuestAWAY","","","","All",""
"QuestAWAY","","","","Category:",""
"QuestAWAY","","","","Clear hidden textures list (hold ctrl and click)","非表示のテクスチャ リストをクリアします (Ctrl キーを押しながらクリック)"
"QuestAWAY","","","","Copy settings to clipboard","設定をクリップボードにコピー"
"QuestAWAY","","","","Developer functions",""
"QuestAWAY","","","","Display quick enable/disable on big map","大きな地図上にクイックenable/disableを表示"
"QuestAWAY","","","","For selected zone there are no custom settings. Global settings are used.","選択したゾーンにはカスタム設定はありません。グローバル設定が使用されます。"
"QuestAWAY","","","","Global settings","グローバル設定"
"QuestAWAY","","","","Hide fate circles","FATE サークルを非表示にする"
"QuestAWAY","","","","Hide icons on big map","大きな地図上のアイコンを非表示にする"
"QuestAWAY","","","","Hide icons on minimap","ミニマップ上のアイコンを非表示にする"
"QuestAWAY","","","","Hide subarea markers, but keep text","サブエリアマーカーを非表示にしますが、テキストは保持します"
"QuestAWAY","","","","Paste settings from clipboard","クリップボードから設定を貼り付ける"
"QuestAWAY","","","","Per-zone settings","ゾーンごとの設定"
"QuestAWAY","","","","Plugin enabled","プラグイン 有効"
"QuestAWAY","","","","Profiling",""
"QuestAWAY","","","","QuestAWAY",""
"QuestAWAY","","","","Quick select:","クイック選択:"
"QuestAWAY","","","","Removes unwanted icons from your map.","不要なアイコンをマップから削除します。"
"QuestAWAY","","","","Select zone...","ゾーンを選択してください..."
"QuestAWAY","","","","Select...",""
"QuestAWAY","","","","Show only selected","選択したものだけを表示"
"QuestAWAY","","","","Special hiding options:","特別な非表示オプション:"
"QuestAWAY","","","","You are editing global profile.","グローバル プロファイルを編集しています。"
"QuestAWAY","","","","[dev] Enable texture collecting","[dev] テクスチャ収集を有効にする"
"QuestAWAY","","","","♥ Patreon/KoFi",""
