Plugin,Menu,Section,Type,English,Japanese
"AutoRetainer","","","","
Items that are protected are unaffected by these actions",""
"AutoRetainer","","","","             アラグ銅貨: 1/0",""
"AutoRetainer","","",""," by kawaii, NightmareXIV",""
"AutoRetainer","","",""," by Puni.sh and NightmareXIV",""
"AutoRetainer","","","","""Close retainer list and disable plugin"" option for 3 previous settings is enforced during MultiMode operation.","前3項目では、Multi Mode動作中は「リテイナー一覧を閉じてプラグインを無効化」が強制されます。"
"AutoRetainer","","","","(not installed)","（未インストール）"
"AutoRetainer","","","","* Items that already in other lists WILL BE MOVED to Discard List","※ 他のリストに登録済みのアイテムは破棄リストへ移動します"
"AutoRetainer","","","","* Items that already in other lists WILL BE MOVED to Unconditional Sell List","※ 他のリストに登録済みのアイテムは無条件売却リストへ移動します"
"AutoRetainer","","","","* Items that already in Unconditional Sell List or Discard List WILL NOT BE ADDED to Quick Venture Sell List","※ 無条件売却リストまたは破棄リストに登録済みのアイテムは、ほりだしもの依頼売却リストには追加されません"
"AutoRetainer","","","","+ right click","+ 右クリック"
"AutoRetainer","","","","+ 右クリック",""
"AutoRetainer","","","","- Also pause ChillFrames plugin","- ChillFramesプラグインも一時停止"
"AutoRetainer","","","","- Also remove general FPS restriction","- 通常のFPS制限も解除"
"AutoRetainer","","","","- ChillFramesプラグインも一時停止###- Also pause ChillFrames plugin",""
"AutoRetainer","","","","- Lifestream  2.2.1.1+",""
"AutoRetainer","","","","- NoKillPlugin ",""
"AutoRetainer","","","","- 通常のFPS制限も解除###- Also remove general FPS restriction",""
"AutoRetainer","","","","...to apartment","…アパルトメントへ"
"AutoRetainer","","","","...to free company house","…FCハウスへ"
"AutoRetainer","","","","...to private house","…個人宅へ"
"AutoRetainer","","","","...to shared estate","…シェアハウスへ"
"AutoRetainer","","","","5分以内に依頼完了するリテイナーがいる場合はリテイナーメニューに留まる###Stay in retainer menu if there are retainers to finish ventures within 5 minutes or less",""
