Plugin,Menu,Section,Type,English,Japanese
"BMR","","","","""Close retainer list and disable plugin"" option for 3 previous settings is enforced during MultiMode operation.","前3項目では、Multi Mode動作中は「リテイナー一覧を閉じてプラグインを無効化」が強制されます。"
"BMR","","","","(H) アルフィノ",""
"BMR","","","","(not installed)","（未インストール）"
"BMR","","","","(R) クルル",""
"BMR","","","","(T) ウクラマト",""
"BMR","","","","* Items that already in other lists WILL BE MOVED to Discard List","※ 他のリストに登録済みのアイテムは破棄リストへ移動します"
"BMR","","","","* Items that already in other lists WILL BE MOVED to Unconditional Sell List","※ 他のリストに登録済みのアイテムは無条件売却リストへ移動します"
"BMR","","","","* Items that already in Unconditional Sell List or Discard List WILL NOT BE ADDED to Quick Venture Sell List","※ 無条件売却リストまたは破棄リストに登録済みのアイテムは、ほりだしもの依頼売却リストには追加されません"
"BMR","","","","+ right click","+ 右クリック"
"BMR","","","","- Also pause ChillFrames plugin","- ChillFramesプラグインも一時停止"
"BMR","","","","- Also remove general FPS restriction","- 通常のFPS制限も解除"
"BMR","","","","...to apartment","…アパルトメントへ"
"BMR","","","","...to free company house","…FCハウスへ"
"BMR","","","","...to private house","…個人宅へ"
"BMR","","","","...to shared estate","…シェアハウスへ"
"BMR","","","","/bmr ar clear: Clear current preset; autorotation will do nothing unless plan is active",""
"BMR","","","","/bmr ar disable: Force disable autorotation; no actions will be executed automatically even if plan is active.",""
"BMR","","","","/bmr ar set Preset: Start executing specified preset.",""
"BMR","","","","/bmr ar toggle Preset: Start executing specified preset unless it's already active; clear otherwise",""
"BMR","","","","/bmr ar toggle: Force disable autorotation if not already; otherwise clear overrides.",""
"BMR","","","","/bmr ar ui: Toggle autorotation ui.",""
"BMR","","","","/bmr cfg: Lists all configs.",""
"BMR","","","","/bmr d: Opens the debug menu.",""
"BMR","","","","/bmr gc: Triggers the garbage collection.",""
"BMR","","","","/bmr r on/off: Starts/stops recording a replay.",""
"BMR","","","","/bmr r: Opens the replay menu.",""
"BMR","","","","/bmr radar on/off: Sets radar display to on or off.",""
"BMR","","","","/bmr radar: toggles radar display",""
"BMR","","","","/bmr resetcolors: Resets all colors to their default values.",""
"BMR","","","","/bmr restorerotation: Toggle restore character orientation after action use setting.",""
"BMR","","","","/bmrai follow name: Follows the specified party member by name.",""
"BMR","","","","/bmrai follow slotX: Follows the specified slot, eg. Slot1.",""
"BMR","","","","/bmrai followcombat on/off: Sets following following during combat to on or off.",""
"BMR","","","","/bmrai followcombat: Toggles following during combat.",""
"BMR","","","","/bmrai followmodule on/off: Sets following following during active boss module to on or off.",""
"BMR","","","","/bmrai followmodule: Toggles following during active boss module.",""
"BMR","","","","/bmrai followoutofcombat on/off: Sets following target out of combat to on or off.",""
"BMR","","","","/bmrai followoutofcombat: Toggles following during out of combat.",""
"BMR","","","","/bmrai followtarget on/off: Sets following target during combat to on or off.",""
"BMR","","","","/bmrai followtarget: Toggles following targets during combat.",""
"BMR","","","","/bmrai forbidactions on/off: Sets forbid actions to on or off. (only for autorotation)",""
"BMR","","","","/bmrai forbidactions: Toggles the forbidding of actions. (only for autorotation)",""
"BMR","","","","/bmrai forbidmovement on/off: Sets forbid movement to on or off.",""
"BMR","","","","/bmrai forbidmovement: Toggles the forbidding of movement.",""
"BMR","","","","/bmrai idlewhilemounted on/off: Sets idle while mounted to on or off.",""
"BMR","","","","/bmrai idlewhilemounted: Toggles the idling while mounted.",""
"BMR","","","","/bmrai manualtarget on/off: Sets manual targeting during combat to on or off.",""
"BMR","","","","/bmrai manualtarget: Toggles manual targeting during combat.",""
"BMR","","","","/bmrai maxdistanceslot X: Sets max distance to slot. (default = 1)",""
"BMR","","","","/bmrai maxdistancetarget X: Sets max distance to target. (default = 2.6)",""
"BMR","","","","/bmrai mindistance X: Sets min distance to hitbox. (default = 0)",""
"BMR","","","","/bmrai movedelay X: Sets AI movement decision delay. (default = 0)",""
"BMR","","","","/bmrai obstaclemaps: Toggles loading obstacle maps.",""
"BMR","","","","/bmrai off: Disables the AI.",""
"BMR","","","","/bmrai on: Enables the AI.",""
"BMR","","","","/bmrai positional X: Switch to positional when following targets. (any, rear, flank, front)",""
"BMR","","","","/bmrai prefdistance X: Sets preferred distance to forbidden zones. (default = 0)",""
"BMR","","","","/bmrai targetmaster: Toggles the focus on target leader.",""
"BMR","","","","/bmrai toggle: Toggles the AI on/off.",""
