Plugin,Menu,Section,Type,English,Japanese
Beastmaster,Captured,,,驯兽师助手,魔獣使いヘルパー
Beastmaster,Captured,,,驯兽师任务链,魔獣使いクエスト
Beastmaster,Captured,,,魔兽图鉴,魔獣図鑑
Beastmaster,Captured,,,斗兽奇弈,闘獣盤
Beastmaster,Captured,,,推荐装备,おすすめ装備
Beastmaster,Captured,,,推荐组合,おすすめ編成
Beastmaster,Captured,,,技能序列,スキルシーケンス
Beastmaster,Captured,,,规则模式,ルールモード
Beastmaster,Captured,,,快捷指令,コマンド
Beastmaster,Captured,,,自动输出,自動戦闘
Beastmaster,Captured,,,设置,設定
Beastmaster,Captured,,,前往斗兽塔,闘獣塔へ移動
Beastmaster,Captured,,,内容,コンテンツ
Beastmaster,Captured,,,工具,ツール
Beastmaster,Captured,,,反馈与建议,フィードバック
Beastmaster,Captured,,,导航,ナビゲーション
Beastmaster,Captured,,,停止导航,ナビ停止
Beastmaster,Captured,,,自动导航至黑衣森林中央林区的斗兽塔入口位置。,黒衣森：中央森林の闘獣塔入口まで自動で移動します。
Beastmaster,Captured,,,类型：当前位置,種別：現在地
Beastmaster,Captured,,,区域：黑衣森林中央林区,エリア：黒衣森：中央森林
Beastmaster,Captured,,,"世界坐标：X=24.238, Y=-6.003, Z=65.809","ワールド座標：X=24.238, Y=-6.003, Z=65.809"
Beastmaster,Captured,,,需要 vnavmesh；跨区需要 Lifestream,vnavmesh が必要です。エリア移動には Lifestream が必要です。
Beastmaster,Captured,,,驯兽ACR,獣使いACR
Beastmaster,Captured,,,关闭,OFF
Beastmaster,Captured,,,暂停,一時停止
Beastmaster,Captured,,,自动,自動
Beastmaster,Captured,,,捕获,捕獲
Beastmaster,Captured,,,主动,先制攻撃
Beastmaster,Captured,,,捕获阈值,捕獲HPしきい値
Beastmaster,Captured,,,基础技能（1→2→3）,基本コンボ（1→2→3）
Beastmaster,Captured,,,高级技能候选,上位スキル候補
Beastmaster,Captured,,,中止技能序列,スキルシーケンス中止
Beastmaster,Captured,,,下一个技能：,次のスキル：
Beastmaster,Captured,,,原因：,理由：
Beastmaster,Captured,,,当前魔兽：,現在の魔獣：
Beastmaster,Captured,,,未召唤,未召喚
Beastmaster,Captured,,,技力,技力
Beastmaster,Captured,,,兽力,獣力
Beastmaster,Captured,,,御兽之心：,御獣の心：
Beastmaster,Captured,,,兽灵之心：,獣霊の心：
Beastmaster,Captured,,,当前目标,現在のターゲット
Beastmaster,Captured,,,无有效目标,有効なターゲットなし
Beastmaster,Captured,,,属性：,属性：
Beastmaster,Captured,,,手动释放大招,必殺技を手動実行
Beastmaster,Captured,,,开关已关闭,無効
Beastmaster,Captured,,,释放：运行时调整技能,「はなつ」：実行時にスキルを自動調整
Beastmaster,Captured,,,开启,ON
Beastmaster,Captured,,,捕获血量阈值：目标血量小于或等于此百分比时释放捕获,捕獲HPしきい値：対象のHPがこの割合以下になると捕獲を使用します。
Beastmaster,Captured,,,请先在自动输出栏目开启自动输出,先に「自動戦闘」で自動戦闘を有効にしてください。
Beastmaster,Captured,,,点击恢复自动输出,クリックで自動戦闘を再開
Beastmaster,Captured,,,点击暂停自动输出,クリックで自動戦闘を一時停止
Beastmaster,Captured,,,强制捕获：无视目标捕获BUFF，但仍受血量阈值限制；点击关闭捕获,強制捕獲：捕獲BUFFを無視しますが、HPしきい値は適用されます。クリックで捕獲をOFFにします。
Beastmaster,Captured,,,尝试捕获：按血量和捕获BUFF判断；点击切换为强制捕获,通常捕獲：HPと捕獲BUFFで判定します。クリックで強制捕獲へ切り替えます。
Beastmaster,Captured,,,捕获未开启；点击开启尝试捕获,捕獲OFF：クリックで通常捕獲を有効にします。
Beastmaster,Captured,,,奇盘编队,闘獣盤編成
Beastmaster,Captured,,,当前编队,現在の編成
Beastmaster,Captured,,,应用中...,適用中...
Beastmaster,Captured,,,应用,適用
Beastmaster,Captured,,,新建,新規
Beastmaster,Captured,,,复制,複製
Beastmaster,Captured,,,删除,削除
Beastmaster,Captured,,,已新建编队预设。,編成プリセットを作成しました。
Beastmaster,Captured,,,已复制当前预设。,現在のプリセットを複製しました。
Beastmaster,Captured,,,按客户端任务状态显示进度，并前往未完成任务的接取位置。,ゲーム内のクエスト状態から進行状況を表示し、未完了クエストの受注場所へ移動できます。
Beastmaster,Captured,,,隐藏已完成任务,完了済みを非表示
Beastmaster,Captured,,,已完成,完了
Beastmaster,Captured,,,进行中,進行中
Beastmaster,Captured,,,未接取,未受注
Beastmaster,Captured,,,前置任务：,前提クエスト：
Beastmaster,Captured,,,未完成,未完了
Beastmaster,Captured,,,开始 NPC：,開始NPC：
Beastmaster,Captured,,,开始 NPC：客户端未提供有效接取坐标,開始NPC：ゲームデータから有効な受注座標を取得できません。
Beastmaster,Captured,,,导航到开始 NPC,開始NPCへ移動
Beastmaster,Captured,,,导航到任务目标,クエスト目的地へ移動
Beastmaster,Captured,,,当前任务序列的目标,現在のクエスト目標
Beastmaster,Captured,,,同步说明 (?),同期について (?)
Beastmaster,Captured,,,同步已解锁魔兽,はなつ済み魔獣を同期
Beastmaster,Captured,,,同步兽级经验,魔獣Lv/経験値を同期
Beastmaster,Captured,,,复制图鉴诊断,図鑑診断をコピー
Beastmaster,Captured,,,复制等级诊断,レベル診断をコピー
Beastmaster,Captured,,,按地图排序,エリア順
Beastmaster,Captured,,,按捕获等级排序,捕獲Lv順
Beastmaster,Captured,,,按兽级排序,魔獣Lv順
Beastmaster,Captured,,,兽级逆序,魔獣Lv降順
Beastmaster,Captured,,,隐藏已捕获魔兽,捕獲済みを非表示
Beastmaster,Captured,,,完成,完了
Beastmaster,Captured,,,编号 / 魔兽,番号 / 魔獣
Beastmaster,Captured,,,属性,属性
Beastmaster,Captured,,,技能,スキル
Beastmaster,Captured,,,捕获等级,捕獲Lv
Beastmaster,Captured,,,兽级,魔獣Lv
Beastmaster,Captured,,,经验,経験値
Beastmaster,Captured,,,区域 / 副本,エリア / コンテンツ
Beastmaster,Captured,,,坐标,座標
Beastmaster,Captured,,,副本,コンテンツ
Beastmaster,Captured,,,最近同步：,最終同期：
Beastmaster,Captured,,,先找劳妲对话打开原生魔兽图鉴，再点击同步。,先にラウダへ話しかけてゲーム標準の魔獣図鑑を開き、その後に同期してください。
Beastmaster,Captured,,,装备方案,装備セット
Beastmaster,Captured,,,开荒装,初期装備
Beastmaster,Captured,,,部位,部位
Beastmaster,Captured,,,装备,装備
Beastmaster,Captured,,,分类,分類
Beastmaster,Captured,,,持有,所持
Beastmaster,Captured,,,无装备,装備なし
Beastmaster,Captured,,,点击访问 Wiki 装备详情,クリックでWikiの装備詳細を開きます。
Beastmaster,Captured,,,已装备,装備中
Beastmaster,Captured,,,背包 有,所持品 あり
Beastmaster,Captured,,,背包 无,所持品 なし
Beastmaster,Captured,,,兵装库 有,アーマリーチェスト あり
Beastmaster,Captured,,,兵装库 无,アーマリーチェスト なし
Beastmaster,Captured,,,开荒装：优先考虑获取难度和快速成型。,初期装備：入手しやすさと早期完成を優先します。
