Plugin,Menu,Section,Type,English,Japanese
"BossMod","","",""," by The Combat Reborn Team",""
"BossMod","","",""," by veyn, xan_0",""
"BossMod","","","","About",""
"BossMod","","","","Action Tweaks","アクション調整"
"BossMod","","","","Actor indicator scale factor","アクター表示の拡大率"
"BossMod","","","","Actor indicator size scales with arena size","アクター表示サイズをアリーナサイズに合わせる"
"BossMod","","","","Add opaque background to the arena in the radar",""
"BossMod","","","","AI","AI"
"BossMod","","","","AI Configuration","AI設定"
"BossMod","","","","Align Aetherial Shift with camera direction",""
"BossMod","","","","Alliance Raids","アライアンスレイド"
"BossMod","","","","Allow drawing non-party players on radar","PT外プレイヤーをレーダーに表示"
"BossMod","","","","Allow modules to automatically interact with objects","モジュールによるオブジェクト自動操作を許可"
"BossMod","","","","Allow modules to automatically use actions",""
"BossMod","","","","Allow WIP modules","開発中モジュールを許可"
"BossMod","","","","Allows you to time specific abilities to cast at specific times.","特定のアビリティを指定したタイミングで使用するよう設定できます。"
"BossMod","","","","Always show all alive party members",""
"BossMod","","","","Always show focus targeted party member",""
"BossMod","","","","Animation lock max. simulated delay (read tooltip!)",""
"BossMod","","","","Anonymize replays",""
"BossMod","","","","AOE内へのダッシュをできるだけ防止###Try to prevent dashing into AOEs",""
"BossMod","","","","Apply to all dashes, not just gap closers",""
"BossMod","","","","Arena: background","アリーナ：背景"
"BossMod","","","","Arena: border","アリーナ：境界線"
"BossMod","","","","Arena: enemy","アリーナ：敵"
"BossMod","","","","Arena: generic/irrelevant caster","アリーナ：一般／非重要キャスター"
"BossMod","","","","Arena: generic/irrelevant focus target","アリーナ：一般／非重要フォーカスターゲット"
"BossMod","","","","Arena: generic/irrelevant healer","アリーナ：一般／非重要ヒーラー"
"BossMod","","","","Arena: generic/irrelevant melee","アリーナ：一般／非重要近接DPS"
"BossMod","","","","Arena: generic/irrelevant phys. ranged","アリーナ：一般／非重要物理遠隔DPS"
"BossMod","","","","Arena: generic/irrelevant player (can be overridden by role-specific colors, depending on settings)","アリーナ：一般／非重要プレイヤー（設定によりロール別カラーで上書き可能）"
"BossMod","","","","Arena: generic/irrelevant tank","アリーナ：一般／非重要タンク"
"BossMod","","","","Arena: interesting player, important for a mechanic","アリーナ：ギミック上重要なプレイヤー"
"BossMod","","","","Arena: melee range indicator","アリーナ：近接攻撃範囲表示"
"BossMod","","","","Arena: N cardinal highlight","アリーナ：北方向強調表示"
"BossMod","","","","Arena: non-enemy important object (untargetable origin of a tether, interactible object, etc)","アリーナ：敵以外の重要オブジェクト（ターゲット不可の線起点、操作可能オブジェクトなど）"
"BossMod","","","","Arena: player character","アリーナ：自キャラクター"
"BossMod","","","","Arena: player not in current party/alliance (usually not drawn on map)","アリーナ：現在のPT／アライアンス外プレイヤー（通常はマップに表示されません）"
"BossMod","","","","Arena: typical danger foreground element (tether, etc)","アリーナ：危険な前景要素（線など）"
"BossMod","","","","Arena: typical danger zone (AOE)","アリーナ：危険範囲（AOE）"
"BossMod","","","","Arena: typical safe foreground element (tether, etc)","アリーナ：安全な前景要素（線など）"
"BossMod","","","","Arena: typical safe zone","アリーナ：安全地帯"
"BossMod","","","","Arena: vulnerable player, needs special attention","アリーナ：要注意プレイヤー"
"BossMod","","","","Assume the AOE is circular, with no inner safe spot","AOEを内側に安全地帯のない円形として扱う"
"BossMod","","","","Auto misdirection: prevent movement under misdirection if angle between normal movement and misdirected is greater than this threshold (set to 180 to disable).",""
"BossMod","","","","Auto record in Duty Recorder replays",""
"BossMod","","","","Auto record replays on duty start/end or outdoor module start/end",""
"BossMod","","","","Auto-assign slots","スロットを自動割り当て"
"BossMod","","","","Auto-DeepDungeon (Experimental)",""
"BossMod","","","","Automates movement during boss fights.","ボス戦中の移動を自動化します。"
"BossMod","","","","Automatic out-of-combat utility actions",""
"BossMod","","","","Automatic target selection for ground-targeted abilities",""
"BossMod","","","","Automatically cancel a cast when target is dead",""
"BossMod","","","","Automatically disable autorotation if a Luring Trap is triggered",""
"BossMod","","","","Automatically disable autorotation on death",""
"BossMod","","","","Automatically disable autorotation when exiting combat",""
"BossMod","","","","Automatically dismount to execute actions",""
"BossMod","","","","Automatically manage auto attacks",""
"BossMod","","","","Automatically moves your character based on safe zones determined by a boss's module, visible on the radar.","ボスモジュールが判定した安全地帯に基づき、レーダー表示を参照してキャラクターを自動移動します。"
"BossMod","","","","Automatically reenable force-disabled autorotation when exiting combat",""
"BossMod","","","","Autorotation","自動ローテーション"
"BossMod","","","","Autorotation Presets","自動ローテーションプリセット"
"BossMod","","","","Behavior for actions without AOE indicators","AOE表示のないアクションへの対応"
"BossMod","","","","Behavior for unknown donut AOEs","未知のドーナツ型AOEへの対応"
"BossMod","","","","Best-effort guess; hint all actions","可能な範囲で推測し、すべてのアクションをヒント表示"
"BossMod","","","","Best-effort guess; ignore large untelegraphed circles, which are usually raidwides","可能な範囲で推測し、通常は全体攻撃となる予兆なしの大円形攻撃は無視"
"BossMod","","","","Boss Mod (has testing version)","Boss Mod（テスト版あり）"
"BossMod","","","","Boss Mod (vbm) provides boss fight radar, auto-rotation, cooldown planning, and AI. All of its modules can be toggled individually. Support for it can be found in the Discord server linked at the bottom of this tab.","Boss Mod（vbm）は、ボス戦レーダー、自動ローテーション、クールダウン計画、AIを提供します。各モジュールは個別にON／OFFできます。サポート先Discordはこのタブ下部にあります。"
"BossMod","","","","Boss Mod Repository","Boss Mod リポジトリ"
"BossMod","","","","Boss Mod Wiki Tutorials","Boss Mod Wiki チュートリアル"
"BossMod","","","","Boss Modules and Radar","ボスモジュールとレーダー"
"BossMod","","","","BossMod Reborn (更新あり)",""
"BossMod","","","","by The Combat Reborn Team","Combat Reborn Team"
"BossMod","","","","by veyn, xan_0","veyn、xan_0"
"BossMod","","","","Can be hooked by other plugins to automate entire duties.","他プラグインと連携して、コンテンツ全体を自動化できます。"
"BossMod","","","","Cardinal direction font size",""
"BossMod","","","","Cast at current mouse position",""
"BossMod","","","","Cast at selected target's position",""
"BossMod","","","","Category",""
"BossMod","","","","CD Planner","クールダウンプランナー"
"BossMod","","","","Change arena border color if player is at risk",""
"BossMod","","","","Clear",""
"BossMod","","","","Close button behavior","閉じるボタンの動作"
"BossMod","","","","Color Scheme","配色"
"BossMod","","","","Compressed binary","圧縮バイナリ"
"BossMod","","","","Condensed text","簡潔なテキスト"
"BossMod","","","","Configures the maximum simulated delay in milliseconds when using animation lock removal - this is required and cannot be reduced to zero. Setting this to 20ms will enable triple-weaving when using autorotation. The minimum setting to remove triple-weaving is 26ms. The minimum of 20ms has been accepted by FFLogs and should not cause issues with your logs.",""
"BossMod","","","","Copy",""
"BossMod","","","","Creates a CD plan for supported bosses.","対応ボス向けのクールダウン計画を作成します。"
"BossMod","","","","Criterion Dungeons","異聞ダンジョン"
"BossMod","","","","Cross-class actions",""
"BossMod","","","","dalamud.logへの出力時、他プレイヤーのパケットを無視###Ignore packets for other players when dumping to dalamud.log",""
"BossMod","","","","Dawntrail",""
"BossMod","","","","Delete","削除"
"BossMod","","","","Developer settings",""
"BossMod","","","","Disable auto-target","自動ターゲットを無効化"
"BossMod","","","","Disable autorotation if the boss is pulled without a countdown",""
"BossMod","","","","Disable current module (and hide radar)","現在のモジュールを無効化（レーダーも非表示）"
"BossMod","","","","Disable current module and all modules in the same category","現在のモジュールと同カテゴリの全モジュールを無効化"
"BossMod","","","","Disable movement","移動を無効化"
"BossMod","","","","Disabled",""
"BossMod","","","","Distance to master","マスターまでの距離"
"BossMod","","","","DNC",""
"BossMod","","","","Do NOT use with XivAlexander or NoClippy - this should automatically disable itself if they are detected, but double check first!",""
"BossMod","","","","Don't fail at raid mechanics anymore","もうレイドギミックで失敗しない"
"BossMod","","","","Draw N cardinal in a different color","北方向を別色で表示"
"BossMod","","","","Draw waypoints in game world",""
"BossMod","","","","DRG",""
"BossMod","","","","Dump client packets into dalamud.log",""
"BossMod","","","","Dump server packets into dalamud.log",""
"BossMod","","","","Early pull threshold",""
"BossMod","","","","Enable",""
"BossMod","","","","Enable automatic execution of quest battles / solo duties",""
"BossMod","","","","Enable priority tracing","優先度トレースを有効化"
"BossMod","","","","Enable radar",""
"BossMod","","","","Enable raycasting","レイキャストを有効化"
"BossMod","","","","Enable Striking Dummy module during Explorer Mode dungeons","自由探索中に木人モジュールを有効化"
"BossMod","","","","Enabled for supported bosses, visible in the ""Supported Bosses"" tab.","対応ボスで有効になります。対象は「対応ボス」タブで確認できます。"
"BossMod","","","","Enabled in Settings > Show replay management UI (or enable auto recording).","設定 > リプレイ管理UIを表示 で有効化できます（または自動記録を有効化）。"
"BossMod","","","","Encounter-Specific Options","コンテンツ固有設定"
"BossMod","","","","Endwalker",""
"BossMod","","","","Ex3Sphene","Ex3Sphene"
