Plugin,Menu,Section,Type,English,Japanese
"DalamudACT","","","","      TTS##quick_nav_Tts","      TTS##quick_nav_Tts"
"DalamudACT","","","","      基础##quick_nav_Basic","      基本##quick_nav_Basic"
"DalamudACT","","","","      外观##quick_nav_Appearance","      外観##quick_nav_Appearance"
"DalamudACT","CapturedExact","","","      帮助##advanced_nav_Help","      ヘルプ##advanced_nav_Help"
"DalamudACT","","","","      性能##quick_nav_Performance","      パフォーマンス##quick_nav_Performance"
"DalamudACT","CapturedExact","","","      数据##advanced_nav_Data","      データ##advanced_nav_Data"
"DalamudACT","CapturedExact","","","      时间轴##advanced_nav_Timeline","      タイムライン##advanced_nav_Timeline"
"DalamudACT","","","","      时间轴##quick_nav_Timeline","      タイムライン##quick_nav_Timeline"
"DalamudACT","","","","      状态##quick_nav_Status","      ステータス##quick_nav_Status"
"DalamudACT","CapturedExact","","","      状态监控##advanced_nav_StatusObserver","      ステータス監視##advanced_nav_StatusObserver"
"DalamudACT","CapturedExact","","","      窗口##advanced_nav_Window","      ウィンドウ##advanced_nav_Window"
"DalamudACT","CapturedExact","","","      统计##advanced_nav_Stats","      統計##advanced_nav_Stats"
"DalamudACT","CapturedExact","","","      队友监控##advanced_nav_PartyMonitor","      PTメンバー監視##advanced_nav_PartyMonitor"
"DalamudACT","CapturedExact","",""," by Shiyuvi, Anmi"," by Shiyuvi, Anmi"
"DalamudACT","Captured","","","/dps","/dps"
"DalamudACT","Captured","","","/dps dps","/dps dps"
"DalamudACT","Captured","","","/dps help","/dps help"
"DalamudACT","Captured","","","/dps settings","/dps settings"
"DalamudACT","Captured","","","/dps skills","/dps skills"
"DalamudACT","Captured","","","/dps status","/dps status"
"DalamudACT","Captured","","","/dps time","/dps time"
"DalamudACT","Captured","","","/dps timeline","/dps timeline"
"DalamudACT","Settings","PartyMonitor/JobSkills","","01/21 骑士","01/21 ナイト"
"DalamudACT","Settings","PartyMonitor/JobSkills","","01/21 骑士###job_skills_19","01/21 ナイト###job_skills_19"
"DalamudACT","Settings","PartyMonitor/JobSkills","","02/21 战士","02/21 戦士"
"DalamudACT","Settings","PartyMonitor/JobSkills","","02/21 战士###job_skills_21","02/21 戦士###job_skills_21"
"DalamudACT","Settings","PartyMonitor/JobSkills","","03/21 暗黑骑士","03/21 暗黒騎士"
"DalamudACT","Settings","PartyMonitor/JobSkills","","03/21 暗黑骑士###job_skills_32","03/21 暗黒騎士###job_skills_32"
"DalamudACT","Settings","PartyMonitor/JobSkills","","04/21 绝枪战士","04/21 ガンブレイカー"
