Plugin,Menu,Section,Type,English,Japanese
GatherBuddyReborn,,,Checkbox/RenderText,Abandon nodes without needed items,必要なアイテムがない採集ポイントをスキップ
GatherBuddyReborn,,,Button,Add All Filtered Fish to Auto-Gather List...,絞り込み中の魚をすべて自動採集リストへ追加...
GatherBuddyReborn,,,Button,Add All Filtered Gatherables to Auto-Gather List...,絞り込み中の採集物をすべて自動採集リストへ追加...
GatherBuddyReborn,,,Checkbox/RenderText,Add In-Game Context Menus,ゲーム内コンテキストメニューを追加
GatherBuddyReborn,,,Selectable,Alarm,アラーム
GatherBuddyReborn,,,TabItem/Selectable,Alarms,アラーム
GatherBuddyReborn,,,Checkbox/RenderText,Always gather maps when available,地図が採集可能なら常に採集
GatherBuddyReborn,,,Checkbox/RenderText,Enable Teleport,テレポを有効化
GatherBuddyReborn,,,TabItem,Weather,天候
GatherBuddyReborn,,,Checkbox/RenderText,Use vnavmesh Navigation,vnavmeshナビゲーションを使用
