Plugin,Menu,Section,Type,English,Japanese
GatherBuddyReborn,,,Button,<No Description>,<説明なし>
GatherBuddyReborn,,,RenderText/Button/Selectable,<Unnamed>,<名称なし>
GatherBuddyReborn,,,Checkbox/RenderText,Abandon nodes without needed items,必要なアイテムがない採集ポイントをスキップ
GatherBuddyReborn,,,Text/RenderTextWrapped,"Add all currently visible gatherables to a selected auto-gather list.
Items already present in the list are skipped.","現在表示されている採集物を、選択した自動採集リストへすべて追加します。
すでにリストにあるアイテムはスキップされます。"
GatherBuddyReborn,,,Button,Add All Filtered Fish to Auto-Gather List...,絞り込み中の魚をすべて自動採集リストへ追加...
GatherBuddyReborn,,,Button,Add All Filtered Gatherables to Auto-Gather List...,絞り込み中の採集物をすべて自動採集リストへ追加...
GatherBuddyReborn,,,Checkbox/RenderText,Add In-Game Context Menus,ゲーム内コンテキストメニューを追加
GatherBuddyReborn,,,RenderText,Additional Modifier,追加修飾キー
GatherBuddyReborn,,,CollapsingHeaderPtr,Aetherytes (107),エーテライト (107)
GatherBuddyReborn,,,Text/RenderTextWrapped,"After gathering umbral items from a clouded node, re-enter the instance to make the node reappear.",雲海の採集ポイントから霊砂系アイテムを採集した後、インスタンスへ入り直して採集ポイントを再出現させます。
GatherBuddyReborn,,,Selectable,Alarm,アラーム
GatherBuddyReborn,,,Text/RenderTextWrapped,Alarm Chat Format,アラームのチャット書式
GatherBuddyReborn,,,Text,Alarm Message in Chat,アラームをチャットに表示
GatherBuddyReborn,,,TabItem/Selectable,Alarms,アラーム
GatherBuddyReborn,,,CollapsingHeaderPtr,Alarms##AlarmDebug,アラーム##AlarmDebug
GatherBuddyReborn,,,Text/RenderTextWrapped,"Allows the use of Windmires for jumping between islands in the Diadem.
Windmires will only be used when they provide a significant distance advantage over normal movement.","ディアデム諸島で島間を移動する際に風脈を利用します。
通常移動より大きく距離を短縮できる場合のみ使用します。"
GatherBuddyReborn,,,Checkbox/RenderText,Always gather maps when available,地図が採集可能なら常に採集
GatherBuddyReborn,,,Checkbox/RenderText,Always Reduce All Items,すべてのアイテムを常に精選
GatherBuddyReborn,,,Checkbox/RenderText,Anchor Gather Window to Bottom Left,採集ウィンドウを左下に固定
GatherBuddyReborn,,,RenderText,Anti-Stuck Cooldown,スタック回避クールダウン
GatherBuddyReborn,,,Text,Arguments in Chat,チャット内の引数
GatherBuddyReborn,,,Checkbox/RenderText,Auto Collectables,収集品を自動採集
GatherBuddyReborn,,,Text/RenderTextWrapped,AUTO-GATHER,自動採集
GatherBuddyReborn,,,TabItem,Auto-Gather,自動採集
GatherBuddyReborn,,,CollapsingHeaderPtr,AutoGather,自動採集
GatherBuddyReborn,,,Checkbox/RenderText,Automatically decide what actions to use,使用するアクションを自動判断
GatherBuddyReborn,,,Button,Automatically generated from context menu.,コンテキストメニューから自動生成されました。
GatherBuddyReborn,,,Text/RenderTextWrapped,"Automatically target and fire aethercannon at nearby enemies when gauge is ready (≥200).
Only fires while not pathing/navigating. 2-second cooldown between uses.","ゲージが200以上の時、近くの敵を自動ターゲットしてエーテルキャノンを発射します。
経路移動・ナビゲーション中は発射しません。使用間隔は2秒です。"
GatherBuddyReborn,,,Text/RenderTextWrapped,Available Bait,使用可能な餌
GatherBuddyReborn,,,RenderText,Botanist Set,園芸師設定
GatherBuddyReborn,,,Text/RenderTextWrapped,"Breaking rocks with a pickaxe or felling trees counts as gathering, why do you ask?
Find all information about botanist and miner items you could ever need.","採掘や伐採も立派な採集です。
園芸師・採掘師のアイテム情報をまとめて確認できます。"
GatherBuddyReborn,,,Button,Can't find something?,見つからないものがありますか？
GatherBuddyReborn,,,RenderText,Chat Type for Errors,エラー用チャット種別
GatherBuddyReborn,,,RenderText,Chat Type for Messages,通常メッセージ用チャット種別
GatherBuddyReborn,,,Button,Check,確認
GatherBuddyReborn,,,Checkbox/RenderText,Check Retainer Inventories,リテイナー所持品も確認
GatherBuddyReborn,,,Text/RenderTextWrapped,Choose a sound that is played every 8 Eorzea hours on regular weather changes.,通常の天候変化時、エオルゼア時間8時間ごとに鳴らす音を選択します。
GatherBuddyReborn,,,Text/RenderTextWrapped,Choose a sound that is played every time the current Eorzea hour changes.,エオルゼア時間の時刻が変わるたびに鳴らす音を選択します。
GatherBuddyReborn,,,Text/RenderTextWrapped,"Choose your job preference when gathering items that can be gathered by miners as well as botanists.
This effectively turns the regular gather command to /gathermin or /gatherbtn when an item can be gathered by both, ignoring the other options even on successive tries.","採掘師・園芸師の両方で採集できるアイテムについて、優先するジョブを選択します。
両方で採れる場合は通常の /gather が /gathermin または /gatherbtn として扱われ、再試行時も他の選択肢を無視します。"
GatherBuddyReborn,,,Button,Cleanup,整理
GatherBuddyReborn,,,Text/RenderTextWrapped,"Click for some help navigating this table.
Control + Shift + Right-Click to permanently hide this button.","この表の操作ヘルプを表示します。
Ctrl + Shift + 右クリックでこのボタンを常に非表示にできます。"
GatherBuddyReborn,,,Text/RenderTextWrapped,Click to /gather this alarm.,クリックしてこのアラーム対象を /gather します。
GatherBuddyReborn,,,Checkbox/RenderText,Clouded,雲海
GatherBuddyReborn,,,Button/Checkbox/RenderText,Collectables,収集品
GatherBuddyReborn,,,Selectable,Colors,色
GatherBuddyReborn,,,Text,Commands in Chat,チャット内のコマンド
