Plugin,Menu,Section,Type,English,Japanese
"InventoryTools","","",""," by Critical_Impact",""
"InventoryTools","Windows","ChocoboColourWindow","","(no target)","（対象なし）"
"InventoryTools","Windows","ChocoboColourWindow","","(none selected)","（未選択）"
"InventoryTools","Windows","CraftsWindow","","(such as the FC Workshop or your Grand Company supply list).","（FC工房やグランドカンパニー納品リストなど）。"
"InventoryTools","SourceScan","ConstructorSettings","","A compact panel that follows your active craft list while you are in the game, so you can see what is still needed without opening a window.","ゲーム中に使用中の製作リストを追従表示するコンパクトなパネルです。ウィンドウを開かなくても残りの必要品を確認できます。"
"InventoryTools","Config","IntroWindowsLayout","","A couple of calculators sit outside lists, crafts and the compendium. Both are in the menu button at the bottom of any Allagan Tools window.","リスト、製作、コンペンディウムとは別に2つの計算ツールがあります。どちらもAllagan Tools各ウィンドウ下部のメニューボタンから開けます。"
"InventoryTools","Config","IntroCraftingLayout","","A craft list takes what you want to make and breaks it into every intermediate item and raw material, then checks that against what you already own.","製作リストは作りたい物を中間素材・原材料まで分解し、現在の所持品と照合します。"
"InventoryTools","Config","IntroWelcomeLayout","","A database covering items, monsters, duties, NPCs, airships and more telling you where things come from and what they are used for.","アイテム、モンスター、コンテンツ、NPC、飛空艇などを網羅し、入手先や用途を確認できるデータベースです。"
"InventoryTools","Tooltip","Logic/Settings","","A list of extra worlds we should automatically price","追加で価格を自動取得するワールドの一覧です。"
"InventoryTools","Ui","AboutHelpLayout","","About","このプラグインについて"
"InventoryTools","Config","ItemIconsGrouping","","Achievement","アチーブメント"
"InventoryTools","Config","TooltipsLayout","","Acquired item colour","取得済みアイテムの色"
"InventoryTools","SourceScan","ConstructorSettings","","Acquired Item Colour","取得済みアイテムの色"
"InventoryTools","Windows","ItemWindow","","Acquired:","取得済み："
"InventoryTools","Logic","Filters","","Acquisition","入手状況"
"InventoryTools","SourceScan","ConstructorSettings","","Acquisition tracker","入手追跡"
"InventoryTools","Windows","CraftOverlayWindow","","Action","操作"
"InventoryTools","Config","ActiveCraftListSetting","","Active Craft List","使用中の製作リスト"
"InventoryTools","Config","HighlightingLayout","","Active lists","有効なリスト"
"InventoryTools","Windows","CraftsWindow","","Active:","有効："
"InventoryTools","Logic","BasicFeature","","Add a button to the game's title menu","ゲームのタイトルメニューにボタンを追加"
"InventoryTools","Config","GeneralLayout","","Add a button to the title menu","タイトル画面メニューにボタンを追加"
"InventoryTools","Tooltip","Logic/Settings","","Add a context menu item to open the crafting log for any item that can be crafted?","製作可能なアイテムの右クリックメニューに製作手帳を開く項目を追加します。"
"InventoryTools","Tooltip","Logic/Settings","","Add a context menu item to open the fishing log for any item that can be fished?","釣りで入手できるアイテムの右クリックメニューに釣り手帳を開く項目を追加します。"
"InventoryTools","Tooltip","Logic/Settings","","Add a context menu item to open the gathering log for any item that can be gathered?","採集可能なアイテムの右クリックメニューに採集手帳を開く項目を追加します。"
"InventoryTools","Tooltip","SourceScan","","Add a new craft list","新しい製作リストを追加"
"InventoryTools","Tooltip","SourceScan","","Add a new craft list.","新しい製作リストを追加します。"
"InventoryTools","Tooltip","SourceScan","","Add a new ephemeral craft list that will be deleted once all the items in it are completed.","すべてのアイテムが完了すると自動削除される一時製作リストを追加します。"
"InventoryTools","Tooltip","SourceScan","","Add a new list","新しいリストを追加"
"InventoryTools","Tooltip","SourceScan","","Add a new list.","新しいリストを追加します。"
"InventoryTools","","","","Add a new shortcut.
Right click this (or the bar background) for options.
Right click other shortcuts to edit them.",""
"InventoryTools","Tooltip","SourceScan","","Add a sample filter","サンプルリストを追加"
"InventoryTools","Tooltip","Logic/Settings","","Add a submenu to add the item to a active craft list?","右クリックメニューに、アイテムを使用中の製作リストへ追加するサブメニューを表示します。"
"InventoryTools","Tooltip","Logic/Settings","","Add a submenu to add the item to a craft list?","右クリックメニューに、アイテムを製作リストへ追加するサブメニューを表示します。"
"InventoryTools","Windows","FiltersWindow","","Add Company Craft to List","カンパニー製作をリストへ追加"
"InventoryTools","Tooltips","GenericSettingConstructor","","Add Ingredient Patch","素材の実装パッチを表示"
"InventoryTools","Tooltips","GenericSettingConstructor","","Add Item Unlock Status (Display Mode)","アイテム取得／解放状況（表示形式）"
"InventoryTools","Tooltips","GenericSettingConstructor","","Add Item Unlock Status (Hide Unlocked Characters)","アイテム取得／解放状況（取得済みキャラクターを非表示）"
"InventoryTools","Windows","FiltersWindow","","Add new Item","新しいアイテムを追加"
"InventoryTools","Logic","CraftWorldPricePreferenceFilter","","Add new world:","ワールドを追加："
"InventoryTools","Logic","CraftWorldPricePreferenceFilter","","Add new world: ","ワールドを追加："
"InventoryTools","Logic","ZonePreferenceFilter","","Add new zone:","エリアを追加："
"InventoryTools","Logic","ZonePreferenceFilter","","Add new zone: ","エリアを追加："
"InventoryTools","Config","ContextMenuLayout","","Add or remove from favourites","お気に入りへ追加／削除"
"InventoryTools","Tooltip","Logic/Settings","","Add the more information menu item to the right click/context menu for items?","アイテムの右クリックメニューに「詳細情報」を追加します。"
"InventoryTools","Logic","ContextMenuFeature","","Add to a craft list","製作リストに追加"
"InventoryTools","Logic","ContextMenuFeature","","Add to a curated list","キュレーションリストに追加"
"InventoryTools","Config","ContextMenuLayout","","Add to craft list","製作リストへ追加"
"InventoryTools","Config","ContextMenuLayout","","Add to curated list","キュレーションリストへ追加"
"InventoryTools","Windows","ChocoboColourWindow","","Add to List##ccAddList","リストへ追加##ccAddList"
"InventoryTools","Windows","ChocoboColourWindow","","Add to List##ccTrackAddList","リストへ追加##ccTrackAddList"
"InventoryTools","Windows","BNpcWindow","","Add to new Craft List","新しい製作リストへ追加"
"InventoryTools","Windows","BNpcWindow","","Add to new Craft List (ephemeral)","新しい製作リスト（一時）へ追加"
"InventoryTools","Windows","ChocoboColourWindow","","Add to new Curated List","新しいキュレーションリストへ追加"
"InventoryTools","Logic","ContextMenuFeature","","Add to or remove from favourites","お気に入りへ追加／削除"
"InventoryTools","Config","ContextMenuLayout","","Add to the active craft list","現在の製作リストへ追加"
"InventoryTools","Ui","ChangelogWindow","","Added","追加"
"InventoryTools","Config","MarketBoardLayout","","Additional worlds","追加ワールド"
"InventoryTools","Tooltip","Logic/Settings","","Adds a button to the title menu along side the dalamud menu items allowing you to open Allagan Tools while not logged in.","タイトル画面のDalamudメニュー項目の横にボタンを追加し、ログイン前でもAllagan Toolsを開けるようにします。"
"InventoryTools","Config","FilteringHelpLayout","","Advanced search syntax","高度な検索構文"
"InventoryTools","Config","TooltipsLayout","","Affix the character name","キャラクター名を付加"
"InventoryTools","Config","IntroInventoriesLayout","","After that","その後"
"InventoryTools","Windows","AirshipWindow","","Airship","飛空艇"
"InventoryTools","Config","ItemIconsGrouping","","Airship Exploration","飛空艇探索"
"InventoryTools","Windows","AirshipWindow","","Airship Exploration Point with the ID","飛空艇探索地点 ID"
"InventoryTools","Windows","AirshipsWindow","","Airships","飛空艇"
"InventoryTools","Ui","GenericTabbedTable","","All","すべて"
"InventoryTools","","","","Allagan Tools",""
"InventoryTools","Windows","RetainerTaskWindow","","Allagan Tools - Invalid Retainer Task","Allagan Tools - 無効なリテイナーベンチャー"
"InventoryTools","Config","TooltipsLayout","","Allagan Tools can add extra lines to the game's item tooltips. Every feature in this section is inactive unless tooltip tweaks are enabled.","Allagan Toolsはゲームのアイテムツールチップへ追加情報を表示できます。この項目の機能は、ツールチップ拡張を有効にしない限り動作しません。"
"InventoryTools","Config","IntroWelcomeLayout","","Allagan Tools does three main things. The next few pages cover each briefly. It should take a minute, and all of it is in the Help window later if you want more detail.","Allagan Toolsには主に3つの機能があります。次の数ページで簡単に紹介します。1分ほどで終わり、詳しい内容は後からヘルプウィンドウで確認できます。"
"InventoryTools","Config","PersistDataSetting","","Allagan Tools has to calculate information when it first boots that can take upwards of 5-10 seconds depending on your computer. If this is on, that data is persisted between updates speeding up the boot time of the plugin.","Allagan Toolsは起動時に各種情報を計算するため、環境によっては5～10秒ほどかかることがあります。有効にすると計算済みデータを保持し、次回以降の起動を高速化します。"
"InventoryTools","Config","GeneralHelpLayout","","Allagan Tools is a multi-purpose plugin providing 3 primary features: tracking and displaying your inventory data, helping you plan crafts, and providing information about items.","Allagan Toolsは多目的プラグインで、主に「所持品データの追跡・表示」「製作計画の支援」「アイテム情報の提供」の3機能を備えています。"
"InventoryTools","Config","GeneralLayout","","Allagan Tools keeps its own record of your inventories. These control how often that record is written to disk.","Allagan Toolsは所持品情報を独自に記録します。ここでは、その記録をディスクへ保存する頻度を設定します。"
"InventoryTools","Config","ListBasicsHelpLayout","","Allows you to search for specific items across all your inventories. If you just need to find an item but don't want help sorting it, this is the list type you want.","すべての所持品から特定のアイテムを検索できます。並べ替え支援は不要で、単にアイテムを探したい場合に使うリストです。"
"InventoryTools","Config","IntroListsLayout","","Almost everything in the plugin hangs off a list. A list is a saved search over your items, and once you have one you can highlight its results in game, sort them, or track them.","プラグインのほとんどの機能はリストを中心に動きます。リストはアイテム検索条件を保存したもので、結果をゲーム内で強調表示したり、並べ替えたり、追跡したりできます。"
"InventoryTools","Tooltips","GenericSettingConstructor","","Always","常に"
"InventoryTools","SourceScan","ConstructorSettings","","Always show","常に表示"
"InventoryTools","Logic","CraftAmountUnavailableColumn","","Amount Missing","不足数"
"InventoryTools","Logic","CraftAmountRequiredColumn","","Amount Required","必要数"
"InventoryTools","Logic","CraftAmountAvailableColumn","","Amount to Retrieve","取得する数量"
"InventoryTools","Ui","TooltipsLayout","","Amount to retrieve","取得する数量"
"InventoryTools","Config","ItemIconsGrouping","","Anima Shop","アニマショップ"
"InventoryTools","Config","ItemIconsGrouping","","Anima Weapon","アニマウェポン"
"InventoryTools","Ui","TooltipsLayout","","Appearance","表示"
"InventoryTools","Config","ItemIconsGrouping","","Aquarium","アクアリウム"
"InventoryTools","Windows","FiltersWindow","","Are you sure you want to clear all your stored history?","保存されている履歴をすべて消去しますか？"
"InventoryTools","Windows","CraftsWindow","","Are you sure you want to reset the default craft list?.
This operation cannot be undone!","既定の製作リストをリセットしますか？
この操作は元に戻せません！"
"InventoryTools","Windows","CraftsWindow","","Are you sure you want to reset your configuration to the default?","設定を既定値へリセットしますか？"
"InventoryTools","Logic","AttributeColumn","","Attribute","属性"
"InventoryTools","Config","AutoSaveTimeSetting","","Auto save every","自動保存間隔"
"InventoryTools","Config","WindowsAndListsLayout","","Auto-Switch","自動切替"
"InventoryTools","Config","AutomaticallyDownloadPricesSetting","","Automatically download prices?","価格を自動取得する？"
"InventoryTools","Config","ItemIconsGrouping","","Auxesia","アウクセシア"
"InventoryTools","Windows","RetainerTaskWindow","","Average iLvl:","平均IL："
"InventoryTools","Windows","ChocoboColourWindow","","back to Desert Yellow (default),","デザートイエロー（既定色）へ戻し、"
"InventoryTools","Config","BackgroundFilterSetting","","Background List Highlighting","バックグラウンド強調リスト"
"InventoryTools","Windows","ItemWindow","","Base","基本"
"InventoryTools","Logic","Filters","","Basic","基本"
"InventoryTools","Logic","BasicFeature","","Basics","基本"
"InventoryTools","Config","ItemIconsGrouping","","Battle Leve","傭兵稼業"
"InventoryTools","SourceScan","ConstructorSettings","","Behaviour","動作"
"InventoryTools","Windows","CraftOverlayWindow","","Bell","呼び鈴"
"InventoryTools","Config","ItemIconsGrouping","","Bicolor Gemstone Shop","バイカラージェム交換"
"InventoryTools","Config","TooltipsLayout","","Blank lines above","上に空行"
"InventoryTools","Config","TooltipsLayout","","Blank lines below","下に空行"
"InventoryTools","Config","ShopHighlightingNpcColorSetting","","Blue","青"
"InventoryTools","Windows","BNpcWindow","","bNpc ID:","bNpc ID："
"InventoryTools","Windows","BNpcWindow","","bNpc with the ID","bNpc ID"
"InventoryTools","Logic","Filters","","Botany:","園芸："
"InventoryTools","Config","ItemIconsGrouping","","Bought on SQ Store(real money)","FFXIVオンラインストア購入（課金）"
"InventoryTools","Config","ItemIconsGrouping","","Bozja","ボズヤ"
