﻿Plugin,Menu,Section,Type,English,Japanese
Penumbra,,,,"
Click to copy to clipboard.",クリックしてクリップボードにコピーします。
Penumbra,,,,"
Hold Control and Shift while clicking to  delete.",Ctrl＋Shiftを押しながらクリックすると削除します。
Penumbra,,,,"
Hold Control while clicking.",Ctrlを押しながらクリックします。
Penumbra,,,,"
THIS IS NOT REVERTIBLE.",この操作は元に戻せません。
Penumbra,,,, as a placeholder value that only matches empty lists or names.,空のリストまたは名前にのみ一致するプレースホルダー値として使用します。
Penumbra,,,, in front of a search token to search for mods matching at least one of the '?'-criteria.,検索語の前に付けると、「?」条件のうち少なくとも1つに一致するMODを検索します。
Penumbra,,,, in front of a search token to search only for mods not matching the criterion.,検索語の前に付けると、その条件に一致しないMODだけを検索します。
Penumbra,,,, inherits from:,継承元：
Penumbra,,,, to filter for mods by specific authors.,特定の作者でMODを絞り込みます。
Penumbra,,,, to filter for mods by the categories of the items they change (use 1-18 or a partial category name).,変更対象アイテムのカテゴリでMODを絞り込みます（1～18、またはカテゴリ名の一部を使用）。
Penumbra,,,, to filter for mods changing specific items.,特定のアイテムを変更するMODで絞り込みます。
Penumbra,,,," to filter for mods containing the text in name, path, description, tags, changed items, or group- or option names or descriptions.",名前、パス、説明、タグ、変更アイテム、グループ名・オプション名や説明に指定文字列を含むMODで絞り込みます。
Penumbra,,,, to filter for mods names without considering the paths.,パスを考慮せず、MOD名だけで絞り込みます。
Penumbra,,,, to filter for mods set to specific tags.,指定したタグが設定されているMODで絞り込みます。
Penumbra,,,, to match this exact combination of words.,この単語の組み合わせに完全一致させます。
Penumbra,,,,'Use No Mods' Collection Assignment,「MODを使用しない」コレクションの割り当て
Penumbra,,,,", or ",、または 
Penumbra,,,,"A collection is a set of mod configurations. You can have as many collections as you desire.
The collection you are currently editing in the mod tab can be selected here and is highlighted.
","コレクションはMOD設定のまとまりです。必要な数だけ作成できます。
MODタブで現在編集中のコレクションはここで選択でき、選択中のものが強調表示されます。
"
Penumbra,,,,A modifier you need to hold while clicking the Delete Mod button for it to take effect.,「MODを削除」ボタンを有効にするため、クリック時に押しておく修飾キーです。
Penumbra,,,,A modifier you need to hold while clicking the Incognito or Temporary Settings Mode button for it to take effect.,「匿名化モード」または「一時設定モード」ボタンを有効にするため、クリック時に押しておく修飾キーです。
Penumbra,,,,Accessory,アクセサリー
Penumbra,,,,Active,有効
Penumbra,,,,Actual Path,実ファイルのパス
Penumbra,,,,Add Tag...,タグを追加…
Penumbra,,,,Additional Modifier,追加修飾キー
Penumbra,,,,Advanced,詳細設定
Penumbra,,,,Advanced Editing: Always Highlight Color Row Pair when Hovering Selection Button,高度な編集：選択ボタンにマウスを合わせた時、常にカラーペア行全体を強調表示
Penumbra,,,,Advanced Editing: Automatically Pin Mod in Editing Window,高度な編集：編集ウィンドウでMODを自動的に固定
Penumbra,,,,Advanced Editing: Edit Raw Tile UV Transforms,高度な編集：タイルUV変換を行列値のまま編集
Penumbra,,,,Advanced Editing: Unlock More Dye Chanels,高度な編集：追加の染色チャンネルを有効化
Penumbra,,,,"All Single-Selection Groups with more options than specified here will be displayed as Combo-Boxes at the top.
All other Single-Selection Groups will be displayed as a set of Radio-Buttons.","指定数より多いオプションを持つ単一選択グループは、上部にコンボボックスで表示されます。
それ以外の単一選択グループはラジオボタンで表示されます。"
Penumbra,,,,Allow Other Plugins Access to PCP Handling,他のプラグインによるPCP処理へのアクセスを許可
Penumbra,,,,Alpha,アルファ
Penumbra,,,,Alphabetical,アルファベット順
Penumbra,,,,Also check General Settings for UI characters and inheritance through ownership.,UIキャラクターや所有関係による継承については、「全般設定」も確認してください。
Penumbra,,,,"Although the vanilla game is limited to two dye channels, the current material file format supports four.
This option will allow the use of those four dye channels in the material editor.
Please note, though, that this has limited usefulness: at the time of writing, those four channels are only usable within the material editor.","通常のゲームでは染色チャンネルは2つまでですが、現在のマテリアルファイル形式では4つまで対応しています。
この設定を有効にすると、マテリアルエディターで4つの染色チャンネルを使用できます。
ただし現時点では、この4チャンネルはマテリアルエディター内でのみ利用できるため、用途は限定的です。"
Penumbra,,,,Always Open Detailed Mod Import Popup,詳細なMODインポート画面を常に開く
Penumbra,,,,Always Open Import at Default Directory,インポート時に常に既定ディレクトリを開く
