Plugin,Menu,Section,Type,English,Japanese
"RotationSolver","","","","      TTS##quick_nav_Tts","      TTS##quick_nav_Tts"
"RotationSolver","","","","      基础##quick_nav_Basic","      基本##quick_nav_Basic"
"RotationSolver","","","","      外观##quick_nav_Appearance","      外観##quick_nav_Appearance"
"RotationSolver","CapturedExact","","","      帮助##advanced_nav_Help","      ヘルプ##advanced_nav_Help"
"RotationSolver","","","","      性能##quick_nav_Performance","      パフォーマンス##quick_nav_Performance"
"RotationSolver","CapturedExact","","","      数据##advanced_nav_Data","      データ##advanced_nav_Data"
"RotationSolver","CapturedExact","","","      时间轴##advanced_nav_Timeline","      タイムライン##advanced_nav_Timeline"
"RotationSolver","","","","      时间轴##quick_nav_Timeline","      タイムライン##quick_nav_Timeline"
"RotationSolver","","","","      状态##quick_nav_Status","      ステータス##quick_nav_Status"
"RotationSolver","CapturedExact","","","      状态监控##advanced_nav_StatusObserver","      ステータス監視##advanced_nav_StatusObserver"
"RotationSolver","CapturedExact","","","      窗口##advanced_nav_Window","      ウィンドウ##advanced_nav_Window"
"RotationSolver","CapturedExact","","","      统计##advanced_nav_Stats","      統計##advanced_nav_Stats"
"RotationSolver","CapturedExact","","","      队友监控##advanced_nav_PartyMonitor","      PTメンバー監視##advanced_nav_PartyMonitor"
"RotationSolver","CapturedExact","",""," by Shiyuvi, Anmi"," by Shiyuvi, Anmi"
"RotationSolver","DNC","Configuration",""," Defense Area Ability"," 範囲防御アビリティ"
"RotationSolver","DNC","Configuration",""," Heal Area Ability"," 範囲回復アビリティ"
"RotationSolver","DNC","Configuration",""," Move Forward Ability"," 前進アビリティ"
"RotationSolver","DNC","Configuration",""," Speed Ability"," 移動速度アビリティ"
"RotationSolver","","","","(Do not set too low, can rip newly aggro'd dungeon mobs off tanks).","（低くしすぎると、ダンジョンでタンクが集めた直後の敵の敵視を奪う可能性があります）"
"RotationSolver","Captured","","","/dps","/dps"
"RotationSolver","Captured","","","/dps dps","/dps dps"
"RotationSolver","Captured","","","/dps help","/dps help"
"RotationSolver","Captured","","","/dps settings","/dps settings"
"RotationSolver","Captured","","","/dps skills","/dps skills"
"RotationSolver","Captured","","","/dps status","/dps status"
"RotationSolver","Captured","","","/dps time","/dps time"
"RotationSolver","Captured","","","/dps timeline","/dps timeline"
"RotationSolver","Main","State Macros","","/rotation AntiKnockback",""
"RotationSolver","Main","State Macros","","/rotation Auto",""
"RotationSolver","Main","State Macros","","/rotation Burst",""
"RotationSolver","Main","State Macros","","/rotation Cycle",""
"RotationSolver","Target","Configuration","","/rotation Cycle behaviour","/rotation Cycle の動作"
"RotationSolver","Main","State Macros","","/rotation DefenseArea",""
"RotationSolver","Main","State Macros","","/rotation DefenseSingle",""
"RotationSolver","Main","State Macros","","/rotation DispelStancePositional",""
"RotationSolver","Main","State Macros","","/rotation EndSpecial",""
"RotationSolver","Main","State Macros","","/rotation HealArea",""
"RotationSolver","Main","State Macros","","/rotation HealSingle",""
"RotationSolver","Main","State Macros","","/rotation Manual",""
"RotationSolver","Main","State Macros","","/rotation MoveBack",""
"RotationSolver","Main","State Macros","","/rotation MoveForward",""
"RotationSolver","Main","State Macros","","/rotation NextAction",""
"RotationSolver","Main","State Macros","","/rotation NoCasting",""
"RotationSolver","Main","State Macros","","/rotation Off",""
"RotationSolver","Main","State Macros","","/rotation RaiseShirk",""
"RotationSolver","Main","State Macros","","/rotation Speed",""
"RotationSolver","Main","State Macros","","/rotation TargetOnly",""
"RotationSolver","Settings","PartyMonitor/JobSkills","","01/21 骑士","01/21 ナイト"
"RotationSolver","Settings","PartyMonitor/JobSkills","","01/21 骑士###job_skills_19","01/21 ナイト###job_skills_19"
"RotationSolver","Settings","PartyMonitor/JobSkills","","02/21 战士","02/21 戦士"
"RotationSolver","Settings","PartyMonitor/JobSkills","","02/21 战士###job_skills_21","02/21 戦士###job_skills_21"
"RotationSolver","Settings","PartyMonitor/JobSkills","","03/21 暗黑骑士","03/21 暗黒騎士"
"RotationSolver","Settings","PartyMonitor/JobSkills","","03/21 暗黑骑士###job_skills_32","03/21 暗黒騎士###job_skills_32"
"RotationSolver","Settings","PartyMonitor/JobSkills","","04/21 绝枪战士","04/21 ガンブレイカー"
"RotationSolver","Settings","PartyMonitor/JobSkills","","04/21 绝枪战士###job_skills_37","04/21 ガンブレイカー###job_skills_37"
"RotationSolver","Settings","PartyMonitor/JobSkills","","05/21 白魔法师","05/21 白魔道士"
"RotationSolver","Settings","PartyMonitor/JobSkills","","05/21 白魔法师###job_skills_24","05/21 白魔道士###job_skills_24"
