Plugin,Menu,Section,Type,English,Japanese
Splatoon,,,Selectable,- Show All -,- すべて表示 -
Splatoon,,,Text/RenderTextWrapped,"/sf <name> - find a single targetable object;
- You can search for multiple names separated by comma;
- Prefix name with !! to include untargetable objects;
- Prefix name list with + to add new objects without clearing list;
- Substitute name with * to include all objects.","/sf <名前> - ターゲット可能なオブジェクトを1つ検索します。
- カンマ区切りで複数の名前を検索できます。
- 名前の先頭に !! を付けるとターゲット不可のオブジェクトも含めます。
- 名前一覧の先頭に + を付けると現在の一覧を消さずに追加します。
- 名前を * にするとすべてのオブジェクトを対象にします。"
Splatoon,,,Button,A Realm Reborn,新生エオルゼア
Splatoon,,,Text/RenderTextWrapped,Accent color override,アクセント色を上書き
Splatoon,,,Text/RenderTextWrapped,Accent length,アクセントの長さ
Splatoon,,,Button,Add object,オブジェクトを追加
Splatoon,,,Text/RenderTextWrapped,Add pathes to folders that contain scripts that you are editing. Do NOT add Splatoon's own configuration folder here.,編集中のスクリプトを含むフォルダーのパスを追加します。Splatoon自身の設定フォルダーは追加しないでください。
Splatoon,,,Text/RenderTextWrapped,Alias,別名
Splatoon,,,Text/RenderTextWrapped,"All drawings, unless overriden per element, will be drawn using this render engine.",各要素で個別指定されていない描画は、すべてこのレンダリングエンジンを使用します。
Splatoon,,,RadioButtonBool/RenderText,All Zones,すべてのエリア
Splatoon,,,Button,Alliance,アライアンス
Splatoon,,,Text/RenderTextWrapped,Alpha Blend Mode:,アルファブレンドモード：
Splatoon,,,Text/RenderTextWrapped,"Alpha feature. Settings may be reset without warning. No safeguards for now, invalid settings will crash your game.",アルファ版機能です。設定が予告なくリセットされる場合があります。現在は安全対策がないため、不正な設定ではゲームがクラッシュする可能性があります。
Splatoon,,,Text/RenderTextWrapped,Animation autocolor spread,アニメーション自動配色の広がり
Splatoon,,,Text/RenderTextWrapped,"Animation duration, ms",アニメーション時間（ms）
Splatoon,,,TabItem,Archive,アーカイブ
Splatoon,,,Text/RenderTextWrapped,Attention Color,注意色
Splatoon,,,Text/RenderTextWrapped,"Attention color is used to highlight the most important and most critical elements, requiring immediate resolution. Typically it can only be used by scripts.",注意色は、即時対応が必要な最重要・最優先の要素を強調するために使われます。通常はスクリプトからのみ使用されます。
Splatoon,,,RenderText,Attention Color Type,注意色タイプ
Splatoon,,,Text/RenderTextWrapped,Attention Window,注意ウィンドウ
Splatoon,,,Text/RenderTextWrapped,Attention window is a way for script to display an useful message during a mechanic. Here you can configure it's size.,注意ウィンドウは、ギミック中にスクリプトが重要なメッセージを表示するためのものです。ここでサイズを設定できます。
Splatoon,,,Checkbox/RenderText,Automatically clip Splatoon's elements around native UI elements and windows,ゲーム標準UIやウィンドウに重なるSplatoon要素を自動でクリップ
Splatoon,,,Text/RenderTextWrapped,Background color override,背景色を上書き
Splatoon,,,Text/RenderTextWrapped,Beta,ベータ
Splatoon,,,Text/RenderTextWrapped,"Beta feature - may contain issues. Please proceed with caution, translate and submit PRs in small batches.",ベータ版機能です。問題が含まれる可能性があります。慎重に使用し、翻訳やPRは少量ずつ行ってください。
Splatoon,,,Button,Blacklist selected,選択項目をブラックリストへ追加
Splatoon,,,Text/RenderTextWrapped,Blacklisted Actions:,ブラックリスト登録アクション：
Splatoon,,,RenderText,Cast Animation,詠唱アニメーション
Splatoon,,,RenderTextWrapped,Cast Animation Color 1,詠唱アニメーション色 1
Splatoon,,,RenderTextWrapped,Cast Animation Color 2,詠唱アニメーション色 2
Splatoon,,,Text/RenderTextWrapped,Change how overlapping elements' transparency is blended,重なった要素の透明度の合成方法を変更します
Splatoon,,,Text/RenderTextWrapped,Chunk length,矢印部分の長さ
Splatoon,,,Button,Clear all,すべてクリア
Splatoon,,,Button,Clear list,一覧をクリア
Splatoon,,,RenderTextWrapped,Color 1,色 1
Splatoon,,,RenderTextWrapped,Color 2,色 2
Splatoon,,,Text/RenderTextWrapped,Color animation duration,色アニメーション時間
Splatoon,,,RenderText,"Color switching cycle, seconds",色切替周期（秒）
Splatoon,,,Text/RenderTextWrapped,Colors:,色：
Splatoon,,,TabItem,Configurations,設定
Splatoon,,,Text/RenderTextWrapped,Configure screen zones where Splatoon will draw its elements,Splatoonの要素を描画する画面範囲を設定します
Splatoon,,,Text/RenderTextWrapped,Configure screen zones where Splatoon will NOT draw elements. Text is currently not clipped.,Splatoonの要素を描画しない画面範囲を設定します。現在、テキストはクリップされません。
Splatoon,,,Text/RenderTextWrapped,Content director is not available,コンテンツ情報を取得できません
Splatoon,,,Button,Copy config,設定をコピー
Splatoon,,,Button,Copy difference,差分をコピー
Splatoon,,,Text/RenderTextWrapped,Currently projectable actions:,現在投影可能なアクション：
Splatoon,,,Text/RenderTextWrapped,Danger,危険
Splatoon,,,Text/RenderTextWrapped,Default rendering engine.,標準レンダリングエンジンです。
Splatoon,,,Text/RenderTextWrapped,DirectX11 Render made by SourP.,SourPによるDirectX11レンダラーです。
Splatoon,,,Text/RenderTextWrapped,DirectX11 Renderer,DirectX11レンダラー
Splatoon,,,Checkbox/RenderText,Disable appearance blinking,表示の点滅を無効化
Splatoon,,,Checkbox/RenderText,Disable circle fix while enabling drawing circles above your point of view,視点より上に円を描画する際の円補正を無効化
Splatoon,,,Checkbox/RenderText,Disable script cache,スクリプトキャッシュを無効化
Splatoon,,,Checkbox/RenderText,Disallow scripts from queueing commands and message sending,スクリプトによるコマンド予約とメッセージ送信を禁止
Splatoon,,,Button,Do (dangerous),実行（危険）
Splatoon,,,Text/RenderTextWrapped,Do not enable it unless you actually need it. Large circles may be rendered incorrectly under certain camera angle with this option enabled.,必要な場合以外は有効にしないでください。有効時、カメラ角度によっては大きな円が正しく描画されない場合があります。
Splatoon,,,Checkbox/RenderText,Don't auto-reset find on zone change,エリア移動時に検索結果を自動リセットしない
Splatoon,,,Checkbox/RenderText,Draw Splatoon's element under other plugins elements and windows,Splatoonの要素を他プラグインの要素やウィンドウより下に描画
Splatoon,,,Button,Edit Clip Zones,クリップ範囲を編集
Splatoon,,,Button,Edit Draw Zones,描画範囲を編集
Splatoon,,,RenderText,Edit saved priority lists,保存済み優先順位リストを編集
Splatoon,,,Checkbox/RenderText,Enable info bar priority indicator,情報バーの優先順位表示を有効化
Splatoon,,,Checkbox/RenderText,Enable Rapid Import,高速インポートを有効化
Splatoon,,,Text/RenderTextWrapped,End:,終了：
Splatoon,,,Text/RenderTextWrapped,False,いいえ
