Plugin,Menu,Section,Type,English,Japanese
TextAdvance,,,Checkbox/RenderText,(very experimental) Allow flight,（試験的）飛行を許可
TextAdvance,,,Button,Add current character,現在のキャラクターを追加
TextAdvance,,,CollapsingHeaderPtr,Antistuck,スタック回避
TextAdvance,,,CollapsingHeaderPtr,Auto interact,自動インタラクト
TextAdvance,,,Text/RenderTextWrapped,Auto interacted objects:,自動インタラクトした対象：
TextAdvance,,,Checkbox/RenderText,Auto-confirm request handins (RH),アイテム納品を自動確定（RH）
TextAdvance,,,TabItem,Auto-enable,自動有効化
TextAdvance,,,Text/RenderTextWrapped,Auto-enable plugin when you log in with characters:,次のキャラクターでログインした時にプラグインを自動有効化：
TextAdvance,,,RenderText,Auto-interact max radius,自動インタラクト最大範囲
TextAdvance,,,Checkbox/RenderText,Auto-interact upon arrival,到着時に自動インタラクト
TextAdvance,,,Checkbox/RenderText,Automatic cutscene skip confirmation (CC),カットシーンスキップを自動確認（CC）
TextAdvance,,,Checkbox/RenderText,Automatic ESC press during cutscene (CS),カットシーン中にESCを自動入力（CS）
TextAdvance,,,Checkbox/RenderText,Automatic interaction with quest-related object (IN),クエスト関連対象へ自動インタラクト（IN）
TextAdvance,,,Checkbox/RenderText,Automatic quest accept (QA),クエストを自動受注（QA）
TextAdvance,,,Checkbox/RenderText,Automatic quest complete (QC),クエストを自動完了（QC）
TextAdvance,,,Checkbox/RenderText,Automatic request fill (RF),納品アイテムを自動セット（RF）
TextAdvance,,,Checkbox/RenderText,Automatic reward pick (RP),報酬を自動選択（RP）
TextAdvance,,,Checkbox/RenderText,Automatic talk skip (TS),会話を自動送り（TS）
TextAdvance,,,Text/RenderTextWrapped,Automatically accepts new quests when talking to quest initiating NPC,クエスト開始NPCとの会話時に新しいクエストを自動受注します
TextAdvance,,,Text/RenderTextWrapped,Automatically advances most of the subtitles. Some subtitles may only be advanced manually still.,ほとんどの字幕を自動で進めます。一部の字幕は手動操作が必要な場合があります。
TextAdvance,,,Text/RenderTextWrapped,Automatically completes quests when talking to NPC that completes quest,クエスト完了NPCとの会話時にクエストを自動完了します
TextAdvance,,,Text/RenderTextWrapped,Automatically confirms cutscene skips upon pressing ESC.,ESCを押した際のカットシーンスキップ確認を自動で行います。
TextAdvance,,,Text/RenderTextWrapped,Automatically confirms most of item requests once filled. Some requests may not be automatically confirmed.,アイテムをセットした後、ほとんどの納品確認を自動で行います。一部は自動確認されない場合があります。
TextAdvance,,,Text/RenderTextWrapped,Automatically fills item request window. Some requests may not be automatically filled.,アイテム納品ウィンドウへ自動でアイテムをセットします。一部は自動セットされない場合があります。
TextAdvance,,,Text/RenderTextWrapped,Automatically interacts with nearby quest-related NPCs and objects.,近くにいるクエスト関連NPCやオブジェクトへ自動でインタラクトします。
TextAdvance,,,Text/RenderTextWrapped,Automatically picks quest completion reward based on simple rules that are configured below,下で設定した簡単なルールに従って、クエスト完了報酬を自動選択します
TextAdvance,,,Text/RenderTextWrapped,Automatically presses ESC key during cutscene when cutscene is skippable. Does not skips normally unskippable cutscenes.,スキップ可能なカットシーン中にESCキーを自動入力します。通常スキップできないカットシーンはスキップしません。
TextAdvance,,,Text/RenderTextWrapped,Button to hold to temporarily disable plugin when active:,プラグイン有効中に押している間だけ一時無効化するキー：
